"VendorID","pickup_date","pickup_weekday","is_Sunday","is_Saturday","pickup_time","pickup_hour","pickup_dayhour","dropoff_date","dropoff_time","dropoff_hour","passenger_count","trip_distance","pickup_longitude","pickup_latitude","RateCodeID","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","payment_card","payment_cash","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","Zipcode","STATION","STATION_NAME","DATE","PRCP","SNWD","SNOW","TMAX","TMIN","AWND","X2010.Population","Land.Sq.Mi","Density.Per.Sq.Mile","UnempRate","numb_sample","AreaName","Place.","State.","Population.","Housing","pctWhite","pctBlack","pctAI.AN","pctAsian","pctNHOPI","pctOthRace","pct2.Races","pctHispanic","DAHR","DA","HR","dayhour","DIR","SPD","GUS","CLG","SKC","VSB","TEMP","DEWP","MAX","MIN","PCP01"
1,"5/16/2015",7,0,1,"8:33:00 PM",20,"16/20","5/16/2015","20:56:00",20,1,4.4,-73.95018005,40.77174759,1,"N",-73.99700928,40.73668289,1,1,0,18.5,0.5,0.5,3.95,0,0.3,23.75,10075,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/16/2015",76,0,0,239,139,9,26121,0.184,141961.9565,"5%",22672,"New York",51000,"NY",26,121,16,493,87.9,2,0.1,7.1,0,1,1620,16,20,"16/20",190,5,NA,200,"",10,69,59,NA,NA,0
2,"5/2/2015",7,0,1,"10:43:00 AM",10,"2/10","5/2/2015","11:05:00",11,1,3.76,-73.95023346,40.78007126,1,"N",-73.99067688,40.75117111,2,0,1,16.5,0,0.5,0,0,0.3,17.3,10128,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/2/2015",0,0,0,233,89,13,60453,0.465,130006.4516,"6%",51240,"New York",51000,"NY",60,453,35,240,80.4,4.7,0.2,9.6,0,2.4,210,2,10,"2/10",NA,0,NA,722,"SCT",10,47,42,NA,NA,0
2,"5/16/2015",7,0,1,"9:23:00 AM",9,"16/9","5/16/2015","9:29:00",9,1,0.75,-73.94570923,40.77780533,1,"N",-73.95265961,40.78372192,1,1,0,5.5,0,0.5,1,0,0.3,7.3,10128,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/16/2015",76,0,0,239,139,9,60453,0.465,130006.4516,"6%",51240,"New York",51000,"NY",60,453,35,240,80.4,4.7,0.2,9.6,0,2.4,169,16,9,"16/9",170,3,NA,NA,"BKN",10,58,52,NA,NA,NA
1,"5/28/2015",5,0,0,"2:28:00 PM",14,"28/14","5/28/2015","14:43:00",14,2,0.5,-73.96755219,40.76313782,1,"N",-73.97561646,40.76132202,1,1,0,10,0,0.5,2.16,0,0.3,12.96,10065,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/28/2015",0,0,0,294,211,18,32270,0.382,84476.43979,"5%",28683,"New York",51000,"NY",32,270,22,754,86.1,1.8,0.1,8.9,0,1.3,2814,28,14,"28/14",200,6,NA,4,"",2,65,60,NA,NA,0
2,"5/16/2015",7,0,1,"9:03:00 PM",21,"16/21","5/16/2015","21:11:00",21,1,2.28,-73.98287201,40.74207306,1,"N",-73.96206665,40.76772308,1,1,0,9,0.5,0.5,1.25,0,0.3,11.55,10016,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/16/2015",76,0,0,239,139,9,54183,0.532,101847.7444,"5%",49764,"New York",51000,"NY",54,183,35,617,74.8,4,0.2,16.6,0.1,2,1621,16,21,"16/21",190,5,NA,NA,"OVC",10,69,59,NA,NA,NA
1,"5/27/2015",4,0,0,"12:31:00 PM",12,"27/12","5/27/2015","12:31:00",12,1,0,-73.99584961,40.76364899,1,"N",-73.99584961,40.76364899,3,0,0,2.5,0,0.5,0,0,0.3,3.3,10036,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/27/2015",20,0,0,294,211,23,24711,0.441,56034.01361,"10%",21102,"New York",51000,"NY",24,711,17,958,63.7,9.3,0.4,17.1,0.1,5.8,2712,27,12,"27/12",180,8,NA,NA,"BKN",7.5,65,59,76,61,NA
2,"5/3/2015",1,1,0,"11:38:00 AM",11,"3/11","5/3/2015","11:44:00",11,1,0.97,-73.95422363,40.7782135,1,"N",-73.95493317,40.78849411,1,1,0,6,0,0.5,1,0,0.3,7.8,10028,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/3/2015",0,0,0,267,106,11,45141,0.313,144220.4473,"5%",38852,"New York",51000,"NY",45,141,28,139,87.7,1.7,0.1,7.4,0,1.1,311,3,11,"3/11",240,8,NA,722,"SCT",10,54,41,54,46,0
1,"5/26/2015",3,0,0,"10:42:00 AM",10,"26/10","5/26/2015","11:01:00",11,1,3.1,-73.9550705,40.7658577,1,"N",-73.97664642,40.78758621,1,1,0,13.5,0,0.5,3.57,0,0.3,17.87,10021,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/26/2015",0,0,0,311,194,23,43631,0.379,115121.372,"3%",36500,"New York",51000,"NY",43,631,28,628,88,1.8,0.1,7.3,0,0.9,2610,26,10,"26/10",200,6,NA,722,"SCT",10,65,57,NA,NA,0
2,"5/28/2015",5,0,0,"11:02:00 AM",11,"28/11","5/28/2015","11:19:00",11,5,2.9,-73.98085022,40.73069763,1,"N",-73.95420837,40.74184418,2,0,1,13,0,0.5,0,5.54,0.3,19.34,10009,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/28/2015",0,0,0,294,211,18,61347,0.617,99427.87682,"7%",56005,"New York",51000,"NY",61,347,31,709,62.1,9.8,0.5,13.7,0.1,9.7,2811,28,11,"28/11",170,6,NA,8,"",7,61,57,NA,NA,NA
1,"5/7/2015",5,0,0,"11:53:00 AM",11,"7/11","5/7/2015","12:19:00",12,1,2.3,-73.99167633,40.75403595,1,"N",-73.9861908,40.73477173,1,1,0,16.5,0,0.5,3.45,0,0.3,20.75,10018,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/7/2015",0,0,0,267,133,10,5229,0.322,16239.13043,"5%",4926,"New York",51000,"NY",5,229,4,425,57,7.6,0.3,25.7,0,6.2,711,7,11,"7/11",350,3,NA,722,"SCT",10,63,47,63,51,0
1,"5/23/2015",7,0,1,"8:36:00 PM",20,"23/20","5/23/2015","20:57:00",20,1,2,-74.00765228,40.74074173,1,"N",-73.98017883,40.72684479,1,1,0,14,0.5,0.5,2.5,0,0.3,17.8,10014,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/23/2015",0,0,0,211,94,20,31959,0.55,58107.27273,"7%",29151,"New York",51000,"NY",31,959,21,689,87.9,2.1,0.2,5.9,0,1.2,2320,23,20,"23/20",190,22,NA,722,"CLR",10,64,38,NA,NA,0
1,"5/15/2015",6,0,0,"12:01:00 PM",12,"15/12","5/15/2015","12:33:00",12,1,4.4,-73.98518372,40.75233078,1,"N",-73.96659851,40.80183411,1,1,0,22,0,0.5,4,0,0.3,26.8,10018,"GHCND:USW00094728","NEW YORK CENTRAL PARK OBS BELVEDERE TOWER NY US","5/15/2015",0,0,0,239,128,15,5229,0.322,16239.13043,"5%",4926,"New York",51000,"NY",5,229,4,425,57,7.6,0.3,25.7,0,6.2,1512,15,12,"15/12",240,9,NA,NA,"BKN",10,60,45,71,53,NA
